,response_me,essentiality_me,response_m,essentiality_m,true_essentiality
BSU15520,0.0,0,0.0,0,0
BSU15580,0.0,0,0.0,0,0
BSU15600,0.0,0,-3.375380817791526e-12,0,0
BSU15490,-1.0,e,-1.0,e,0
BSU15500,-1.0,e,-1.0,e,0
BSU15570,-1.0,e,-1.0,e,0
BSU15530,-1.0,e,-0.9999999990083207,e,0
BSU15610,0.0,0,0.0,0,0
BSU15540,-1.0,e,-0.9999999990083207,e,0
BSU15550,-1.0,e,-1.0,e,0
BSU15560,-1.0,e,-1.0,e,0
BSU15620,0.0,0,7.758129053077435e-12,0,0
BSU15630,0.0,0,-1.538226400496065e-10,0,0
BSU15590,-1.0,e,-1.0,e,0
BSU15650,0.0,0,0.0,0,0
BSU15700,0.0,0,-2.542199849755634e-10,0,0
BSU15790,-0.0011532511368430923,0,-0.0011324699729760221,0,0
BSU15850,0.0,0,-4.1793007210424855e-10,0,0
BSU15860,0.0,0,-4.1793007210424855e-10,0,0
BSU15720,-1.0,e,-5.667691668379731e-11,0,0
BSU15730,-1.0,e,-5.613110541786166e-10,0,0
BSU15690,-1.0,e,,,0
BSU15820,-1.0,e,,,0
BSU15750,-1.0,e,,,0
BSU15920,0.0,0,,,e
BSU15680,-1.0,e,-1.0,e,e
BSU15930,0.0,0,,,e
BSU15900,-1.0,e,0.0,0,e
BSU15910,-1.0,e,0.0,0,e
BSU16090,-0.061581735502320566,-,-0.05954568825281822,-,0
BSU16100,-0.061581735502320566,-,-0.05954568825281822,-,0
BSU16470,0.0,0,,,0
BSU16510,0.0,0,0.0,0,e
BSU16530,0.0,0,-1.5565585346392565e-10,0,e
BSU15990,-1.0,e,,,e
BSU16040,-1.0,e,,,e
BSU16020,-1.0,e,,,0
BSU15980,-1.0,e,,,e
BSU16490,-1.0,e,,,e
BSU16520,-1.0,e,,,e
BSU16500,-1.0,e,,,e
BSU16540,-1.0,e,-1.0,e,e
BSU16730,0.0,0,-1.6845470178651136e-10,0.0,0
BSU16630,-1.0,e,,,e
BSU16550,-1.0,e,-1.0,e,0
BSU16570,-1.0,e,,,e
BSU16650,-1.0,e,,,0
BSU16600,-1.0,e,,,e
BSU16740,0.0,0,-1.6845470178651136e-10,0.0,0
BSU16680,-1.0,e,,,e
BSU16670,-1.0,e,-4.321394465667102e-10,0,e
BSU16760,-9.376025502789367e-06,0,0.0,0,e
BSU16690,-1.0,e,,,0
BSU16990,0.0,0,0.0,0,0
BSU17000,0.0,0,-5.412855828162946e-11,0,0
BSU17150,0.0,0,-4.701807130572008e-10,0,0
BSU16750,-1.0,e,-1.0,e,e
BSU17410,0.0,0,-4.020005380740416e-10,0,0
BSU16770,-1.0,e,-1.0,e,e
BSU16780,-1.0,e,,,0
BSU17600,0.0,0,-3.223239280205541e-10,0,0
BSU16920,-1.0,e,-1.0,e,e
BSU16960,-1.0,e,,,0
BSU17610,0.0,0,-4.38828681499111e-10,0,0
BSU17680,0.0,0,0.0,0,0
BSU17380,-1.0,e,-1.0,e,e
BSU17710,0.0,0,,,0
BSU17660,0.0,0,0.0,0,0
BSU17460,-1.0,e,-1.0,e,0
BSU17390,-1.0,e,-1.0,e,e
BSU18000,-0.15392621067929305,-,-0.15208314442876789,-,0
BSU18120,0.0,0,0.0,0,0
BSU18210,0.0,0,0.0,0,0
BSU18220,0.0,0,0.0,0,0
BSU18250,0.0,0,0.0,0,0
BSU18230,0.0,0,0.0,0,0
BSU18260,0.0,0,0.0,0,0
BSU18440,0.0,0,0.0,0,0
BSU18410,0.0,0,0.0,0,0
BSU18470,0.0,0,0.0,0,0
BSU18450,0.0,0,0.0,0,0
BSU17890,-1.0,e,-1.0,e,0
BSU18480,0.0,0,0.0,0,0
BSU18540,0.0,0,0.0,0,0
BSU18570,0.0,0,0.0,0,0
BSU18670,0.0,0,0.0,0,0
BSU18800,0.0,0,0.0,0,0
BSU18830,0.0,0,0.0,0,0
BSU19230,0.0,0,-5.80128225792593e-10,0,0
BSU19350,0.0,0,0.0,0,0
BSU19310,0.0,0,0.0,0.0,0
BSU19360,-0.06346631662838123,-,-0.06135332804854622,-,0
BSU19520,0.0,0,0.0,0,0
BSU19370,-0.06346631662838123,-,-0.06135332804854622,-,0
BSU19580,0.0,0,0.0,0,0
BSU19630,0.0,0,0.0,0,0
BSU19690,0.0,0,2.0827577227785128e-10,0,0
BSU19800,0.0,0,-3.06280634292494e-12,0,0
BSU19710,0.0,0,-3.0611687679568773e-10,0,0
BSU20020,0.0,0,0.0,0,0
BSU20250,0.0,0,-2.960762623065379e-06,0,0
BSU21680,0.0,0,-1.6251990422984236e-10,0,0
BSU21690,0.0,0,-5.613676399228435e-10,0,0
BSU21770,0.0,0,0.0,0,0
BSU21820,0.0,0,0.0,0,0
BSU21900,0.0,0,-1.8688894908144712e-10,0,0
BSU22060,0.0,0,-2.6957401492935053e-10,0,0
BSU22070,0.0,0,-2.9109600864574783e-10,0,0
BSU22090,0.0,0,1.2721487022370324e-10,0,0
BSU22100,0.0,0,-4.4537098172352975e-11,0,0
BSU22110,0.0,0,-1.1680144629963834e-10,0,0
BSU22130,0.0,0,-2.747980202477268e-10,0,0
BSU21870,-1.0,e,-1.0,e,0
BSU21810,-1.0,e,-1.0,e,e
BSU21910,-1.0,e,-1.0,e,0
BSU22140,0.0,0,0.0,0,0
BSU21920,-1.0,e,-1.0,e,0
BSU22410,0.0,0,-3.5056986102391963e-10,0,0
BSU22420,0.0,0,-6.375731086683094e-11,0,0
BSU22430,0.0,0,-3.6363387414377647e-10,0,0
BSU22480,0.0,0,-7.389121768427822e-11,0,0
BSU22540,-0.34309690122357134,-,-0.34122513172011454,-,0
BSU22550,-0.34309690122357134,-,-0.34122513172011454,-,0
BSU22560,-0.34309690122357134,-,-0.34122513172011454,-,0
BSU22360,-1.0,e,,,0
BSU22370,-1.0,e,-1.0,e,0
BSU22620,0.0,0,0.0,0,0
BSU22440,-1.0,e,-1.0,e,e
BSU22490,-1.0,e,-1.0,e,e
BSU22600,-1.0,e,-1.0,e,0
BSU22610,-1.0,e,-1.0,e,0
BSU22680,0.0,0,-1.0,e,0
BSU22690,0.0,0,0.0,0,0
BSU22630,-1.0,e,-1.0,e,0
BSU22640,-1.0,e,-1.0,e,0
BSU22650,-1.0,e,-1.0,e,0
BSU22660,-1.0,e,-1.0,e,0
BSU22670,-1.0,e,-1.0,e,0
BSU22700,-1.0,e,-1.0,e,0
BSU22870,0.0,0,-2.149106566617431e-10,0,0
BSU22710,-1.0,e,-1.0,e,e
BSU22730,-1.0,e,-1.0,e,0
BSU22740,-1.0,e,-1.0,e,0
BSU22750,-1.0,e,-1.0,e,0
BSU22760,-1.0,e,-1.0,e,0
BSU22890,-0.0038629225071492193,0,-0.0019944055372108156,0,e
BSU22780,-1.0,e,-1.0,e,0
BSU22960,0.0,0,0.0,0,0
BSU22880,-1.0,e,,,0
BSU22830,-1.0,e,-1.0,e,0
BSU23100,0.0,0,,,0
BSU23450,0.0,0,,,0
BSU23490,0.0,0,0.0,0,0
BSU23500,-0.00023440063756973418,0,-9.729467091494492e-05,0,0
BSU23070,-1.0,e,-1.0,e,0
BSU23080,-1.0,e,-1.0,e,0
BSU23250,-1.0,e,-3.362171987517525e-10,0,0
BSU23260,-1.0,e,0.0,0,0
BSU23560,0.0,0,0.0,0,0
BSU23380,-1.0,e,-1.0,e,0
BSU23570,0.0,0,-2.830300107929994e-10,0,0
BSU23580,0.0,0,-7.039407752080099e-11,0,0
BSU23270,-1.0,e,-3.362171987517525e-10,0,0
