,flux
ACOAD4_1_FWD_BSU37170-MONOMER_s,0.0
ACOAD4_1_REV_BSU24150-MONOMER,0.0
ACOAD4_1_REV_BSU24150-MONOMER_s,0.0025196601240871797
ACOAD4_1_REV_BSU37170-MONOMER,0.0
ACOAD4_1_REV_BSU37170-MONOMER_s,0.0
ACOAD5_1_FWD_BSU24150-MONOMER,0.0
ACOAD5_1_FWD_BSU24150-MONOMER_s,0.0
ACOAD5_1_FWD_BSU37170-MONOMER,0.0
ACOAD5_1_FWD_BSU37170-MONOMER_s,0.0
ACOAD5_1_REV_BSU24150-MONOMER,0.0
ACOAD5_1_REV_BSU24150-MONOMER_s,0.0025196601240871797
ACOAD5_1_REV_BSU37170-MONOMER,0.0
ACOAD5_1_REV_BSU37170-MONOMER_s,0.0
ACOAD6_FWD_BSU24150-MONOMER,0.0
ACOAD6_FWD_BSU24150-MONOMER_s,0.0
ACOAD6_FWD_BSU37170-MONOMER,0.0
ACOAD6_FWD_BSU37170-MONOMER_s,0.0
ACOAD6_REV_BSU24150-MONOMER,0.0
ACOAD6_REV_BSU24150-MONOMER_s,0.0
ACOAD6_REV_BSU37170-MONOMER,0.0
ACOAD6_REV_BSU37170-MONOMER_s,0.0025196601240871797
ACOAD7_FWD_BSU24150-MONOMER,0.0
ACOAD7_FWD_BSU24150-MONOMER_s,0.0
ACOAD7_FWD_BSU37170-MONOMER,0.0
ACOAD7_FWD_BSU37170-MONOMER_s,0.0
ACOAD7_REV_BSU24150-MONOMER,0.0
ACOAD7_REV_BSU24150-MONOMER_s,0.001938200095451677
ACOAD7_REV_BSU37170-MONOMER,0.0
ACOAD7_REV_BSU37170-MONOMER_s,0.0
ACOADH2_FWD_BSU04520-MONOMER,0.0
ACOADH2_FWD_BSU04520-MONOMER_s,0.0
ACOADH2_FWD_BSU18260-MONOMER,0.0
ACOADH2_FWD_BSU18260-MONOMER_s,0.0
ACOADH2_FWD_BSU32820-MONOMER,0.0
ACOADH2_FWD_BSU32820-MONOMER_s,0.0
ACODA_1_FWD_BSU15350-MONOMER,0.0
ACODA_1_FWD_BSU15350-MONOMER_s,0.0
ACONT_FWD_BSU18000-MONOMER_mod_4fe4s,1.97979398558357
ACONT_FWD_BSU18000-MONOMER_mod_4fe4s_s,0.27098643983024717
ACONT_REV_BSU18000-MONOMER_mod_4fe4s,0.0
ACONT_REV_BSU18000-MONOMER_mod_4fe4s_s,0.0
ACOTA_FWD_BSU11220-MONOMER_mod_pydx5p,0.0
ACOTA_FWD_BSU11220-MONOMER_mod_pydx5p_s,0.0
ACOTA_REV_BSU11220-MONOMER_mod_pydx5p,0.009766183033859361
ACOTA_REV_BSU11220-MONOMER_mod_pydx5p_s,0.0
ACPS1_FWD_BSU04620-MONOMER,0.0
ACPS1_FWD_BSU04620-MONOMER_s,0.0
